University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Politecnico di MILANO,Italy,Milano,Politecnico,,"Politecnico di MILANO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1200,http://www.polimi.it,"Engineering, Manufacturing, Construction",Not Ranked,9999,4
Università Cattolica del Sacro Cuore,Italy,Milano,Università,,"Università Cattolica del Sacro Cuore is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2400,http://www.unicatt.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università Commerciale ""Luigi Bocconi"" MILANO",Italy,Milano,Università,,"Università Commerciale ""Luigi Bocconi"" MILANO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4900,http://www.unibocconi.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di MILANO,Italy,Milano,Università,,"Università degli Studi di MILANO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1400,http://www.unimi.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Libera Università ""Vita Salute S.Raffaele"" MILANO",Italy,Milano,Università,,"Libera Università ""Vita Salute S.Raffaele"" MILANO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4800,http://www.unisr.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di FERRARA,Italy,Ferrara,Università,,"Università degli Studi di FERRARA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2200,http://www.unife.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di FIRENZE,Italy,Firenze,Università,,"Università degli Studi di FIRENZE is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1300,http://www.unifi.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università Telematica ""ITALIAN UNIVERSITY LINE"" - IUL",Italy,Firenze,Universtià telematica,,"Università Telematica ""ITALIAN UNIVERSITY LINE"" - IUL is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3100,http://www.iuline.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di FOGGIA,Italy,Foggia,Università,,"Università degli Studi di FOGGIA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4100,http://www.unifg.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di GENOVA,Italy,Genova,Università,,"Università degli Studi di GENOVA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1800,http://www.unige.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi de L'AQUILA,Italy,L'Aquila,Università,,"Università degli Studi de L'AQUILA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1300,http://www.univaq.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università del SALENTO,Italy,Lecce,Università,,"Università del SALENTO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,5000,http://www.unile.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Scuola IMT - Istituzioni, Mercati, Tecnologie - Alti Studi - LUCCA",Italy,Lucca,Scuola Superiore,,"Scuola IMT - Istituzioni, Mercati, Tecnologie - Alti Studi - LUCCA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4000,http://www.imtlucca.it,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,4
Università degli Studi del MOLISE,Italy,Campobasso,Università,,"Università degli Studi del MOLISE is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3000,http://www.unimol.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Libera Università Mediterranea ""Jean Monnet"" – LUM",Italy,Casamassima,Università,,"Libera Università Mediterranea ""Jean Monnet"" – LUM is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4200,http://www.lum.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Universita degli studi di Cassino e del Lazio Meridionale,Italy,Cassino,Università,,"Universita degli studi di Cassino e del Lazio Meridionale is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4800,http://www.unicas.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università ""Carlo Cattaneo"" - LIUC",Italy,Castellanza,Università,,"Università ""Carlo Cattaneo"" - LIUC is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1100,http://www.liuc.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di CATANIA,Italy,Catania,Università,,"Università degli Studi di CATANIA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2100,http://www.unict.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università degli Studi ""Magna Graecia"" di CATANZARO",Italy,Catanzaro,Università,,"Università degli Studi ""Magna Graecia"" di CATANZARO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2200,http://www.unicz.it/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,2
"Università degli Studi ""G. d'Annunzio"" CHIETI-PESCARA",Italy,Chieti,Università,,"Università degli Studi ""G. d'Annunzio"" CHIETI-PESCARA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1200,http://www.unich.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
